"country","year","status","life_expectancy","adult_mortality","percentage_expenditure","hepatitis_b","polio","measles","infant_deaths","under_five_deaths","hiv_aids_life_exp","schooling","population","alcohol","gdp","cardiovascular_diseases","neonatal_disorders","hiv_aids_cause_deaths","malaria","tuberculosis","diarrheal_diseases","lower_respiratory_infections","healthcare_per_capita","total_deaths","cardio_death_prop","neonatal_death_prop","hiv_death_prop","malaria_death_prop","tb_death_prop"
"Albania",2015,"Developing",77.8,74,364.9752287,99,99,0,0,0,0.1,14.2,28873,4.6,3954.22783,11754,199,2,0,11,7,418,4.69119831233933,11966,0.982283135550727,0.0166304529500251,0.000167140230653518,0,0.000919271268594351
"Albania",2014,"Developing",77.5,8,428.7490668,98,98,0,0,1,0.1,14.2,288914,4.51,4575.763787,11275,218,2,0,11,7,401,5.53224602322581,11506,0.979923518164436,0.0189466365374587,0.000173822353554667,0,0.000956022944550669
"Albania",2013,"Developing",77.2,84,430.8769785,99,99,0,0,1,0.1,14.2,289592,4.76,4414.72314,10800,243,2,0,11,7,383,5.58130801165803,11056,0.97684515195369,0.021979015918958,0.000180897250361794,0,0.00099493487698987
"Albania",2012,"Developing",76.9,86,412.4433563,99,99,9,0,1,0.1,14.2,2941,5.14,4247.61438,10446,269,2,0,11,7,369,5.36337264369311,10728,0.973713646532439,0.0250745712155108,0.000186428038777032,0,0.00102535421327368
"Albania",2011,"Developing",76.6,88,437.0621,99,99,28,0,1,0.1,13.3,295195,5.37,4437.17868,10142,293,2,0,11,7,359,5.70577154046997,10448,0.970712098009188,0.0280436447166922,0.000191424196018377,0,0.00105283307810107
"Albania",2010,"Developing",76.2,91,41.82275719,99,99,10,1,1,0.1,12.5,291321,5.28,494.358832,9748,308,2,0,10,7,351,0.548855081233596,10068,0.968216130313866,0.0305919745729043,0.000198649185538339,0,0.000993245927691696
"Albania",2009,"Developing",76.1,91,348.0559517,98,98,0,1,1,0.1,12.2,2927519,5.79,4114.136545,9513,335,2,0,10,7,357,4.57366559395532,9860,0.964807302231237,0.0339756592292089,0.000202839756592292,0,0.00101419878296146
"Albania",2008,"Developing",75.3,1,36.62206845,99,99,0,1,1,0.1,12,2947314,5.61,437.539647,9393,365,2,0,11,7,374,0.48634885059761,9771,0.961314092723365,0.0373554395660628,0.000204687340088016,0,0.00112578037048409
"Albania",2007,"Developing",75.9,9,32.24655228,98,99,22,1,1,0.1,11.6,29717,5.58,363.13685,9024,392,2,0,12,8,393,0.424855761264822,9430,0.95694591728526,0.0415694591728526,0.000212089077412513,0,0.00127253446447508
"Albania",2006,"Developing",74.2,99,3.3021542,98,97,68,1,1,0.1,11.4,2992547,5.31,35.1293,9172,430,2,0,13,8,441,0.0445034258760108,9617,0.953727773734013,0.0447124883019653,0.000207965061869606,0,0.00135177290215244
"Albania",2005,"Developing",73.5,15,26.99312143,98,97,6,1,1,0.1,10.8,311487,5.16,279.142931,9414,470,2,0,15,9,501,0.367253352789116,9901,0.950813049186951,0.0474699525300475,0.000201999798000202,0,0.00151499848500151
"Albania",2004,"Developing",73,17,221.8428,99,98,7,1,1,0.1,10.9,326939,4.54,2416.588235,9335,516,2,0,17,10,560,3.03894246575342,9870,0.945795339412361,0.0522796352583587,0.000202634245187437,0,0.00172239108409321
"Albania",2003,"Developing",72.8,18,14.71928882,97,97,8,1,1,0.1,10.7,339616,4.29,189.681557,9045,569,2,0,18,10,624,0.202188033241758,9634,0.938862362466265,0.059061656632759,0.000207598090097571,0,0.00186838281087814
"Albania",2002,"Developing",73.3,15,104.5169157,96,98,16,1,1,0.1,10.7,3511,3.73,1453.642777,8230,617,2,0,18,11,671,1.42587879536153,8867,0.928160595466336,0.0695838502311943,0.000225555430246983,0,0.00202999887222285
"Albania",2001,"Developing",73.6,14,96.20557078,96,97,18,1,1,0.1,10.6,36173,4.25,1326.97339,7622,663,2,0,19,13,742,1.30714090733696,8306,0.917649891644594,0.0798218155550205,0.000240789790512882,0,0.00228750300987238
"Albania",2000,"Developing",72.6,11,91.71154052,96,97,662,1,1,0.1,10.7,38927,3.66,1175.788981,7641,711,2,0,21,15,875,1.26324435977961,8375,0.912358208955224,0.0848955223880597,0.000238805970149254,0,0.00250746268656716
"Algeria",2014,"Developing",75.4,11,54.2373183,95,95,0,21,24,0.1,14.4,39113313,0.01,547.8517,83376,11653,355,0,483,573,5543,0.719327828912467,95867,0.869704903668624,0.121553819353897,0.00370304692960038,0,0.00503823004787883
"Algeria",2013,"Developing",75.3,112,544.4507432,95,95,25,21,24,0.1,14.4,38338562,0.53,5471.866766,80572,11758,345,0,487,577,5432,7.2304215564409,93162,0.864859062707971,0.126210257401086,0.00370322663747021,0,0.00522745325347245
"Algeria",2012,"Developing",75.1,113,555.9260834,95,95,18,21,24,0.1,14.4,37565847,0.66,5564.82566,78530,11899,343,0,489,587,5362,7.40247780825566,91261,0.860499008338721,0.130384282442664,0.00375845103603949,0,0.00535825818257525
"Algeria",2011,"Developing",74.9,116,509.0020405,95,95,112,21,24,0.1,14,36819558,0.56,5432.2523,76392,12184,335,0,494,602,5317,6.79575487983979,89405,0.854448856327946,0.136278731614563,0.00374699401599463,0,0.00552541804149656
"Algeria",2010,"Developing",74.7,119,430.7175861,95,95,103,21,24,0.1,13.6,36117637,0.45,4463.394675,74239,12387,329,0,499,621,5274,5.76596500803213,87454,0.848891988931324,0.141640176549958,0.0037619777254328,0,0.00570585679328561
"Algeria",2009,"Developing",74.4,123,352.0636419,94,94,107,20,23,0.1,13.1,3546576,0.5,3868.83123,72767,12564,318,0,504,650,5284,4.73203819758064,86153,0.844625259712372,0.145833575151185,0.00369110768052186,0,0.00585005745592144
"Algeria",2008,"Developing",74.1,126,43.08717334,91,92,217,20,23,0.1,12.6,3486715,0.46,495.254866,71264,12660,297,0,507,683,5312,0.581473324426451,84728,0.841091492776886,0.149419318289113,0.00350533471815693,0,0.00598385421584364
"Algeria",2007,"Developing",73.8,129,320.3239241,9,95,0,20,23,0.1,12.3,34376,0.44,3935.183343,70099,12719,278,0,513,720,5365,4.34043257588076,83609,0.83841452475212,0.152124771256683,0.00332500089703262,0,0.0061357030941645
"Algeria",2006,"Developing",73.4,132,270.2401962,8,95,944,20,23,0.1,12.3,33777915,0.36,3464.6179,68935,12801,244,0,524,762,5423,3.68174654223433,82504,0.835535246775914,0.155156113642975,0.00295743236691554,0,0.00635120721419568
"Algeria",2005,"Developing",72.9,136,2.548922758,83,88,2302,19,22,0.1,12,33288437,0.5,31.122378,67957,12846,217,0,540,810,5492,0.0349646468861454,81560,0.833214811181952,0.157503678273664,0.00266061794997548,0,0.00662089259440902
"Algeria",2004,"Developing",72.3,14,220.393699,81,86,3289,19,23,0.1,11.7,3283196,0.45,2598.9823,67142,12900,196,0,554,879,5549,3.04832225449516,80792,0.831047628478067,0.159669274185563,0.00242598277057134,0,0.00685711456579859
"Angola",2014,"Developing",51.7,348,23.965612,64,68,11699,67,101,2,11.4,2692466,8.33,479.31224,21149,20048,13176,8798,13578,18053,14724,0.463551489361702,76749,0.27556059362337,0.261215129838825,0.17167650392839,0.114633415419093,0.176914357190322
"Angola",2013,"Developing",51.1,355,35.95857279,77,67,8523,69,105,2.3,11.4,2599834,8.1,484.616884,21009,20217,13524,8570,14249,19421,15475,0.703690269863014,77569,0.270842733566244,0.260632469156493,0.174347999845299,0.110482280292385,0.183694517139579
"Angola",2012,"Developing",56,358,256.1225243,75,75,4458,72,110,2.6,10.3,259615,8.24,4598.249988,20537,20305,13533,8550,14655,20245,16241,4.57361650535714,77580,0.26472028873421,0.261729827275071,0.174439288476411,0.110208816705336,0.188901778808971
"Angola",2011,"Developing",51,361,239.8913921,72,73,1449,75,115,2.5,9.4,24218565,8.06,4299.12889,19923,20325,12798,8972,15127,20827,16863,4.70375278627451,77145,0.258253937390628,0.263464903752674,0.165895391794672,0.116300473135006,0.196085293927021
"Angola",2010,"Developing",49.6,365,191.6537407,77,81,1190,78,121,2.5,9,23369131,7.8,3529.53482,19340,20369,12036,10045,15756,21148,17676,3.86398670766129,77546,0.249400355917778,0.26266989915663,0.155211100508086,0.129536017331648,0.203182627085859
"Angola",2009,"Developing",49.1,369,212.9229325,61,63,2807,81,127,2.5,8.5,22549547,7.01,3347.84485,18809,20276,11433,11334,16302,21581,18235,4.33651593686354,78154,0.240665864830975,0.25943649717225,0.146288097858075,0.145021368068173,0.208588172070527
"Angola",2008,"Developing",48.7,371,249.9101958,69,65,265,84,133,2.6,8.1,2175942,7.07,3868.578883,18305,20218,10889,13805,17022,22463,19196,5.13162619712526,80239,0.228130958760702,0.25197223295405,0.1357070751131,0.172048505091041,0.212141228081108
"Angola",2007,"Developing",48.2,375,184.8213446,73,75,1014,87,138,2.6,7.7,2997687,6.35,2878.837144,17760,20250,10340,16328,17340,23500,19824,3.83446773029046,82018,0.216537833158575,0.246897022604794,0.126069887097954,0.199078251115609,0.211417006023068
"Argentina",2014,"Developing",76.2,118,847.3717463,94,92,1,8,9,0.1,17.3,42981515,7.93,12245.25645,93640,4216,1766,0,744,766,34668,11.1203641246719,100366,0.932985273897535,0.0420062570990176,0.0175956001036207,0,0.00741286889982663
"Argentina",2013,"Developing",76,119,1001.796332,94,99,0,8,10,0.1,17.3,42539925,8.28,12976.63642,93311,4281,1747,0,753,745,33579,13.1815306842105,100092,0.93225232785837,0.042770651001079,0.0174539423730168,0,0.00752307876753387
"Argentina",2012,"Developing",75.9,12,1133.558003,91,99,2,9,10,0.1,17.2,4296739,8.35,12969.7712,92630,4332,1733,0,745,723,32009,14.9348880500659,99440,0.9315164923572,0.0435639581657281,0.0174275945293644,0,0.00749195494770716
"Argentina",2011,"Developing",75.7,12,1504.329462,91,93,3,9,10,0.1,17.1,41656879,8.11,12726.9836,92474,4622,1611,0,755,710,31052,19.8722518097754,99462,0.929742012024693,0.0464700086465183,0.0161971406165169,0,0.00759083871227202
"Argentina",2010,"Developing",75.5,121,187.610955,94,95,17,10,11,0.1,16.8,41223889,8.15,1276.265,91734,4794,1651,0,760,687,29690,2.48491331125828,98939,0.927177351701553,0.0484540979795632,0.0166870495962158,0,0.0076815007226675
"Argentina",2009,"Developing",75.6,126,1398.042623,94,97,3,10,11,0.1,16.5,479947,8.33,8161.36966,89543,4849,1721,4,783,660,27964,18.4926272883598,96900,0.924076367389061,0.0500412796697626,0.0177605779153767,4.12796697626419e-05,0.00808049535603715
"Argentina",2008,"Developing",75.4,126,1413.73543,9,94,0,10,11,0.1,16.3,4382389,8.41,8953.359275,89122,5055,1714,4,796,649,26764,18.7498067639257,96691,0.921719705039766,0.0522799433246114,0.0177265722766338,4.13688967949447e-05,0.008232410462194
"Argentina",2007,"Developing",74.8,129,1105.659031,85,92,0,10,12,0.1,16.3,3997224,8.16,7193.61764,91606,5055,1727,4,835,650,26506,14.7815378475936,99227,0.92319630745664,0.0509437955395205,0.0174045370715632,4.03116087355256e-05,0.00841504832354097
"Argentina",2006,"Developing",75.2,127,961.1774676,84,92,0,11,12,0.1,16.1,3955889,7.75,5878.76127,89434,4872,1692,4,834,643,24781,12.7816152606383,96836,0.923561485397992,0.0503118674872981,0.0174728406790863,4.13069519600149e-05,0.0086124994836631
"Argentina",2005,"Developing",74.9,127,96.16653429,88,95,0,11,12,0.1,16.3,39145488,7.53,576.883829,89381,5141,1620,4,861,651,23776,1.2839323670227,97007,0.921387116393662,0.0529961755337244,0.016699825785768,4.12341377426371e-05,0.00887564814910264
"Argentina",2004,"Developing",74.7,13,719.3663797,81,91,0,11,12,0.1,16.3,38728696,7.63,4251.574348,91239,5763,1747,5,906,686,23215,9.63007201740295,99660,0.915502709211318,0.0578266104756171,0.0175296006421834,5.01705799719045e-05,0.00909090909090909
"Argentina",2003,"Developing",74.1,137,57.58467352,73,95,0,11,13,0.1,16.4,3839379,7.62,333.4376,93723,6186,1878,5,969,736,22545,0.777121100134953,102761,0.912048345189323,0.0601979350142564,0.0182754157705744,4.86565915084517e-05,0.00942964743433793
"Argentina",2002,"Developing",74.1,138,470.1869145,66,94,0,12,13,0.1,16.3,3788937,7.81,2579.193168,93054,6218,1829,5,1001,759,20952,6.34530248987854,102107,0.911338106104381,0.0608969022691882,0.0179125818993801,4.89682392000548e-05,0.00980344148785098
"Armenia",2014,"Developing",74.6,12,295.6087143,93,95,13,1,1,0.1,12.7,29622,3.91,3994.712355,12911,224,28,0,91,15,566,3.96258330160858,13254,0.974121020069413,0.016900558322016,0.002112569790252,0,0.006865851818319
"Armenia",2013,"Developing",74.4,123,279.4290812,95,96,10,1,1,0.1,12.7,289359,3.79,3843.591213,12927,238,16,0,102,16,558,3.75576722043011,13283,0.973198825566514,0.0179176390875555,0.00120454716554995,0,0.00767898818038094
"Armenia",2012,"Developing",74.4,121,274.1526986,95,96,0,1,1,0.1,12.7,2881922,3.89,3684.8481,13268,258,20,0,117,16,559,3.68484809946237,13663,0.971089804581717,0.0188831149820684,0.00146380736295104,0,0.00856327307326356
"Armenia",2011,"Developing",73.9,128,260.9963826,95,96,0,1,1,0.1,12.7,2875581,4.09,3526.978143,13432,284,10,0,127,19,567,3.53175077943166,13853,0.969609470872735,0.0205009745181549,0.000721865299935032,0,0.00916768930917491
"Armenia",2010,"Developing",73.5,132,224.3212014,94,96,2,1,1,0.1,12.3,2877311,4.23,3218.381655,13493,302,10,0,138,20,570,3.05198913469388,13943,0.967725740514954,0.0216596141432977,0.000717205766334361,0,0.00989743957541419
"Armenia",2009,"Developing",73.3,137,201.1855461,93,94,0,1,1,0.1,11.9,2888584,3.96,2993.832531,13478,321,12,0,150,23,572,2.74468684993179,13961,0.965403624382208,0.0229926223049925,0.000859537282429625,0,0.0107442160303703
"Armenia",2008,"Developing",73.2,14,2.8888979,89,91,0,1,1,0.1,12.3,29822,3.96,41.26997,13622,335,12,0,161,25,577,0.0394658183060109,14130,0.964048124557679,0.0237084217975938,0.000849256900212314,0,0.0113941967445152
"Armenia",2007,"Developing",73.5,132,44.57219966,85,9,1,1,1,0.1,11.7,293356,3.99,3138.8873,13487,349,7,0,161,28,573,0.606424485170068,14004,0.96308197657812,0.024921451013996,0.000499857183661811,0,0.0114967152242217
"Armenia",2006,"Developing",72.9,141,244.5352767,78,87,137,1,1,0.1,11.2,29585,4.01,2158.299,13660,376,10,0,165,33,567,3.35439337037037,14211,0.961227218351981,0.0264583773133488,0.000703680247695447,0,0.0116107240869749
"Armenia",2005,"Developing",73,137,20.21822828,91,92,2281,1,1,0.1,10.9,2981259,4.25,1643.758397,13498,396,4,0,156,39,520,0.276962031232877,14054,0.960438309378113,0.028177031450121,0.000284616479294151,0,0.0111000426924719
"Armenia",2004,"Developing",73,132,97.74087744,91,93,1783,1,1,0.1,10.9,3612,3.81,1191.96192,13287,413,2,0,154,47,483,1.33891612931507,13856,0.958934757505774,0.0298065819861432,0.000144341801385681,0,0.0111143187066975
"Armenia",2003,"Developing",72.7,134,7.341493148,93,96,4,1,1,0.1,10.8,31786,3.03,93.1661567,13310,427,1,0,155,56,454,0.100983399559835,13893,0.958036421219319,0.0307349024688692,7.19786943064853e-05,0,0.0111566976175052
"Armenia",2002,"Developing",72.6,134,57.17810403,91,96,40,1,1,0.1,10.8,333897,2.86,783.261699,12961,447,1,0,154,68,445,0.787577190495868,13563,0.955614539556145,0.0329573103295731,7.37300007373e-05,0,0.0113544201135442
"Armenia",2001,"Developing",72.6,141,53.19373012,69,97,69,1,1,0.1,11.1,35655,2.86,694.435119,12708,476,1,0,143,87,452,0.732696007162534,13328,0.953481392557023,0.0357142857142857,7.50300120048019e-05,0,0.0107292917166867
"Armenia",2000,"Developing",72,142,32.75626853,55,96,15,1,1,0.1,11.2,369588,2.9,622.7427477,12379,504,1,0,137,109,470,0.454948174027778,13021,0.950695031103602,0.0387067045541817,7.67990169725828e-05,0,0.0105214653252438
"Australia",2014,"Developed",82.7,6,10769.36305,91,92,340,1,1,0.1,20.4,2346694,9.71,62214.6912,45146,537,67,0,82,213,3530,130.222044135429,45832,0.98503229184849,0.0117167044859487,0.00146186070867516,0,0.00178914295688602
"Australia",2013,"Developed",82.5,61,11734.85381,91,91,158,1,1,0.1,20.3,23117353,9.87,67792.3386,44255,572,69,0,80,206,3306,142.240652242424,44976,0.983969228032729,0.0127178939879047,0.001534151547492,0,0.00177872643187478
"Australia",2012,"Developed",82.3,61,11714.99858,91,92,199,1,1,0.1,20.1,22728254,10.03,67677.63477,44416,575,74,0,77,207,3192,142.345061725395,45142,0.983917416153471,0.0127375836250055,0.00163927163173984,0,0.00170572858978335
"Australia",2011,"Developed",82,63,10986.26527,92,92,190,1,1,0.1,19.8,223424,10.3,62245.129,44991,608,103,0,80,197,3055,133.978844756098,45782,0.982722467345245,0.0132803285133895,0.00224979249486698,0,0.00174741164649862
"Australia",2010,"Developed",81.9,64,8875.786493,92,92,70,1,1,0.1,19.5,223175,10.52,51874.848,44759,638,83,0,79,179,2911,108.373461452991,45559,0.982440352070941,0.0140038192234246,0.00182181347263987,0,0.00173401523299458
"Australia",2009,"Developed",81.7,66,7172.275229,94,92,104,1,1,0.1,19.1,216917,10.62,42742.99898,45219,649,101,0,80,167,2803,87.787946499388,46049,0.98197572151404,0.0140936828161306,0.00219331581576147,0,0.00173727985406849
"Australia",2008,"Developed",81.3,66,8547.292357,94,92,65,1,1,0.1,19.1,212492,10.76,49664.6854,46128,648,95,0,80,156,2828,105.132747318573,46951,0.982471086877809,0.0138016229686269,0.00202338608336351,0,0.00170390407020085
"Australia",2007,"Developed",81.3,66,872.5986092,94,92,11,1,2,0.1,19,28276,10.56,4991.98289,45949,652,123,0,78,148,2910,10.7330702238622,46802,0.981774283150293,0.0139310285885219,0.0026280928165463,0,0.00166659544463912
"Australia",2006,"Developed",81.2,66,6187.062017,95,92,0,1,2,0.1,20.3,26979,10.31,36118.28381,45433,658,132,0,76,136,2938,76.1953450369458,46299,0.981295492343247,0.0142119700209508,0.00285103349964362,0,0.00164150413615845
"Australia",2005,"Developed",81,67,579.1331637,95,92,10,1,2,0.1,20.3,23948,10.3,3416.71483,45600,651,117,0,73,123,2998,7.14979214444444,46441,0.981891001485756,0.0140177860080532,0.0025193255959174,0,0.00157188691027325
"Australia",2004,"Developed",86,69,588.568371,95,92,70,1,1,0.1,20.7,21274,9.84,3472.37977,46587,621,145,0,77,117,3113,6.84381826744186,47430,0.982226438962682,0.0130929791271347,0.00305713683322791,0,0.00162344507695551
"Australia",2003,"Developed",83,71,3829.550928,95,92,91,1,1,0.1,20.6,198954,9.97,23465.38559,47950,620,134,0,78,106,3181,46.1391678072289,48782,0.98294452871961,0.0127096060022139,0.00274691484563979,0,0.00159895043253659
"Australia",2002,"Developed",79.9,73,46.3871819,95,92,32,1,2,0.1,20.1,196514,9.84,281.81763,48557,632,133,0,81,97,3097,0.580565480600751,49403,0.982875533874461,0.0127927453798352,0.00269214420176912,0,0.00163957654393458
"Australia",2001,"Developed",79.9,75,3064.301144,94,91,141,1,2,0.1,20.5,19413,9.53,19517.84168,48397,640,146,0,84,87,2940,38.3517039299124,49267,0.982341120831388,0.0129904398481742,0.00296344409036475,0,0.00170499523007287
"Austria",2014,"Developed",81.4,66,8350.193523,98,98,117,0,0,0.1,15.9,8541575,12.32,51322.63997,31571,126,43,0,56,111,984,102.582230012285,31796,0.992923638193484,0.00396276261164926,0.00135237136746761,0,0.00176122782739967
"Austria",2013,"Developed",81.1,68,90.58501176,95,95,0,0,0,0.1,15.7,8479375,11.82,554.71532,31432,126,50,0,56,102,967,1.11695452231813,31664,0.992673067205659,0.00397928246589186,0.00157908034360788,0,0.00176856998484083
"Austria",2012,"Developed",88,7,7878.372355,92,92,36,0,0,0.1,15.7,8429991,12.26,48333.57273,31298,128,39,0,54,93,968,89.5269585795455,31519,0.992988356229576,0.00406104254576605,0.00123734890066309,0,0.00171325232399505
"Austria",2011,"Developed",88,73,8272.306757,89,89,68,0,0,0.1,15.7,8391643,12.04,51126.74139,30832,139,41,0,54,80,978,94.003485875,31066,0.992467649520376,0.00447434494302453,0.00131977081053241,0,0.00173823472606708
"Austria",2010,"Developed",84,75,7423.228774,86,86,52,0,0,0.1,15.4,836344,12.1,46657.629,30655,149,45,0,52,73,999,88.3717711190476,30901,0.992039092586,0.00482185042555257,0.00145626355134138,0,0.0016827934371056
"Austria",2009,"Developed",82,77,8053.557638,83,83,49,0,0,0.1,15.3,8343323,11.3,47654.18721,30688,148,40,0,53,67,1026,98.2141175365854,30929,0.992207960166834,0.00478515309256685,0.00129328461961266,0,0.00171360212098678
"Austria",2008,"Developed",84,76,8329.731655,83,83,448,0,0,0.1,15.1,8321496,12,51386.37665,30517,148,47,0,52,59,1056,99.1634720833333,30764,0.991971135092966,0.00481081783903264,0.00152775971915226,0,0.0016902873488493
"Austria",2007,"Developed",81,8,7453.8644,85,85,20,0,0,0.1,15.2,8295487,12.5,46586.6525,30852,149,59,0,52,52,1104,92.0230172839506,31112,0.991643095911545,0.00478914888146053,0.00189637438930316,0,0.00167138081769092
"Austria",2006,"Developed",79.8,81,69.92899358,83,83,23,0,0,0.1,15,8268641,12.4,443.99361,31069,156,43,0,54,41,1139,0.876303177694236,31322,0.991922610305855,0.00498052487069791,0.00137283698358981,0,0.00172402783985697
"Austria",2005,"Developed",79.4,85,5992.588029,86,86,9,0,0,0.1,14.9,8227829,12.4,38242.4252,31829,168,65,0,55,33,1186,75.4734008690176,32117,0.991032786374817,0.00523087461469004,0.00202385029735031,0,0.00171248871314257
"Austria",2004,"Developed",79.3,86,5316.877456,83,83,15,0,0,0.1,14.7,8171966,12.1,36693.4262,32114,177,56,0,55,26,1182,67.0476350063052,32402,0.991111659774088,0.00546262576384174,0.00172828837726066,0,0.00169742608480958
"Austria",2003,"Developed",78.8,88,504.4308735,83,84,90,0,0,0.1,14.7,8121423,12.2,3212.9355,33519,183,50,0,57,21,1206,6.40140702411168,33809,0.991422402318909,0.0054127599159987,0.00147889615191221,0,0.00168594161317992
"Austria",2002,"Developed",78.7,9,3979.057728,81,82,0,0,0,0.1,16.1,881957,12.5,26351.37568,34394,173,53,0,61,16,1164,50.5598186531131,34681,0.991724575415934,0.00498832213603991,0.00152821429601223,0,0.00175888815201407
"Austria",2001,"Developed",78.6,92,3582.848308,44,83,0,0,0,0.1,15.5,842293,12.4,24489.73553,34918,180,50,0,63,11,1160,45.5833118066158,35211,0.991678736758399,0.00511203885149527,0.00142001079208202,0,0.00178921359802335
"Austria",2000,"Developed",78.1,96,3557.455507,33,71,0,0,0,0.1,15.4,811566,13.2,24517.26745,36313,179,48,0,68,8,1192,45.5500064916773,36608,0.991941652097902,0.00488964160839161,0.00131118881118881,0,0.00185751748251748
"Azerbaijan",2014,"Developing",72.5,119,306.1824313,94,97,0,5,6,0.1,12.2,953579,0.01,7891.299776,41339,2571,29,0,707,140,3116,4.22320594896552,44646,0.925928414639609,0.0575863459212471,0.000649554271379295,0,0.0158356851677642
"Azerbaijan",2013,"Developing",72.2,121,275.6514934,93,96,164,5,6,0.1,11.9,941681,2.14,7875.756953,40438,2718,28,0,734,144,3225,3.81788772022161,43918,0.920761419008152,0.0618880641194954,0.000637551801083838,0,0.0167129650712692
