"country","year","status","life_expectancy","adult_mortality","alcohol","percentage_expenditure","bmi","total_expenditure","gdp","population","income_composition_of_resources","schooling","code","meningitis","alzheimer_s_disease_and_other_dementias","parkinson_s_disease","nutritional_deficiencies","malaria","drowning","interpersonal_violence","maternal_disorders","hiv_aids","drug_use_disorders","tuberculosis","cardiovascular_diseases","lower_respiratory_infections","neonatal_disorders","alcohol_use_disorders","self_harm","exposure_to_forces_of_nature","diarrheal_diseases","environmental_heat_and_cold_exposure","neoplasms","conflict_and_terrorism","diabetes_mellitus","chronic_kidney_disease","poisonings","protein_energy_malnutrition","road_injuries","chronic_respiratory_diseases","cirrhosis_and_other_chronic_liver_diseases","digestive_diseases","fire_heat_and_hot_substances","acute_hepatitis","measles_abs","infant_deaths_abs","under_five_deaths_abs","hepatitis_b_abs","polio_abs","diphtheria_abs","thinness_1_19_abs","thinness_5_9_abs"
"afghanistan",2010,"Developing",58.8,279,0.01,79.67936736,16.7,9.2,553.32894,2883167,0.448,9.2,"AFG",2410,1476,465,1974,377,1837,4130,4940,176,281,4416,53934,23701,23821,118,1367,350,6889,57,16718,8273,3413,4693,484,1932,7379,6969,3304,6367,451,2482,5734619.163,213354.358,294083.034,1902890.22,1902890.22,1902890.22,530502.728,530502.728
"afghanistan",2011,"Developing",59.2,275,0.01,7.097108703,17.2,7.87,63.537231,2978599,0.454,9.5,"AFG",2327,1508,473,1846,390,1775,4170,4857,184,292,4259,54347,22883,23951,120,1391,83,6412,58,17094,9142,3550,4785,483,1805,7432,6916,3318,6370,448,2365,8974518.787,211480.529,288924.103,2025447.32,2025447.32,2025447.32,542105.018,542105.018
"afghanistan",2012,"Developing",59.5,272,0.01,78.1842153,17.6,8.52,669.959,3696958,0.463,9.8,"AFG",2254,1544,482,1705,94,1716,4245,4736,191,305,4122,54868,22162,24057,124,1413,333,6008,103,17522,11350,3682,4846,482,1667,7494,6878,3353,6398,445,2264,10303421.946,255090.102,343817.094,2476961.86,2476961.86,2476961.86,661755.482,665452.44
"afghanistan",2013,"Developing",59.9,268,0.01,73.21924272,18.1,8.13,631.744976,31731688,0.47,9.9,"AFG",2281,1581,491,1690,143,1777,4379,4623,200,316,4047,55274,22260,24234,126,1433,155,5986,58,18015,11829,3827,4945,494,1651,8054,6859,3413,6476,460,2204,13644625.84,2094291.408,2824120.232,20308280.32,19673646.56,20308280.32,5616508.776,5616508.776
"afghanistan",2014,"Developing",59.9,271,0.01,73.52358168,18.6,8.18,612.696514,327582,0.476,10,"AFG",1935,1620,502,1617,228,1757,4420,4470,213,326,3970,55932,21750,24163,128,1444,575,5751,57,18462,18008,3986,5055,496,1579,8087,6851,3454,6522,463,2134,161170.344,20965.248,28172.052,203100.84,189997.56,203100.84,57326.85,57326.85
"afghanistan",2015,"Developing",65,263,0.01,71.27962362,19.1,8.16,584.25921,33736494,0.479,10.1,"AFG",1821,1652,511,1505,284,1730,5039,4320,230,339,3893,56875,21016,23953,131,1467,446,5509,58,18876,23667,4143,5153,496,1469,7730,6835,3492,6555,463,2065,38931914.076,2091662.628,2800129.002,21928721.1,2024189.64,21928721.1,5802676.968,5836413.462
"albania",2000,"Developing",72.6,11,3.66,91.71154052,45,6.26,1175.788981,38927,0.656,10.7,"ALB",48,438,117,22,0,91,309,8,2,21,21,7641,875,711,14,151,0,15,6,3073,1,141,244,24,21,259,753,265,451,21,1,25769.674,38.927,38.927,37369.92,37759.19,37759.19,817.467,856.394
"albania",2001,"Developing",73.6,14,4.25,96.20557078,46,6,1326.97339,36173,0.662,10.6,"ALB",42,451,118,16,0,80,250,6,2,26,19,7622,742,663,15,148,0,13,6,3044,5,140,237,23,15,257,706,255,429,19,1,651.114,36.173,36.173,34726.08,35087.81,35087.81,759.633,759.633
"albania",2002,"Developing",73.3,15,3.73,104.5169157,46.9,6.3,1453.642777,3511,0.67,10.7,"ALB",39,471,128,13,0,76,204,6,2,30,18,8230,671,617,15,154,7,11,6,3190,1,151,243,22,11,268,711,257,427,19,1,56.176,3.511,3.511,3370.56,3440.78,3440.78,70.22,73.731
"albania",2003,"Developing",72.8,18,4.29,14.71928882,47.9,6.27,189.681557,339616,0.674,10.7,"ALB",36,489,141,10,0,70,164,6,2,31,18,9045,624,569,16,165,0,10,6,3388,0,163,256,20,9,287,734,266,438,19,1,2716.928,339.616,339.616,329427.52,329427.52,329427.52,6452.704,6792.32
"albania",2004,"Developing",73,17,4.54,221.8428,48.9,6.38,2416.588235,326939,0.681,10.9,"ALB",33,501,147,8,0,64,128,5,2,30,17,9335,560,516,16,170,1,10,8,3463,9,163,256,18,7,290,716,268,438,18,1,2288.573,326.939,326.939,323669.61,320400.22,317130.83,5884.902,6211.841
"albania",2005,"Developing",73.5,15,5.16,26.99312143,49.9,6.12,279.142931,311487,0.685,10.8,"ALB",30,514,149,7,0,53,92,6,2,23,15,9414,501,470,16,169,5,9,5,3468,10,156,252,14,6,276,676,267,433,17,1,1868.922,311.487,311.487,305257.26,302142.39,305257.26,5606.766,5606.766
"albania",2006,"Developing",74.2,99,5.31,3.3021542,5.8,5.86,35.1293,2992547,0.696,11.4,"ALB",28,527,146,6,0,45,77,5,2,21,13,9172,441,430,16,162,0,8,4,3395,18,142,240,12,5,260,622,261,420,16,1,203493.196,2992.547,2992.547,2932696.06,2902770.59,2902770.59,50873.299,53865.846
"albania",2007,"Developing",75.9,9,5.58,32.24655228,51.7,6.1,363.13685,29717,0.703,11.6,"ALB",24,543,146,6,0,44,76,5,2,23,12,9024,393,392,16,158,0,8,4,3357,18,130,231,12,4,258,586,260,413,16,1,653.774,29.717,29.717,29122.66,29419.83,29122.66,475.472,505.189
"albania",2008,"Developing",75.3,1,5.61,36.62206845,52.6,5.87,437.539647,2947314,0.713,12,"ALB",21,567,154,5,0,42,71,5,2,23,11,9393,374,365,17,163,0,7,4,3471,8,125,236,12,4,261,583,269,423,16,1,0,2947.314,2947.314,2917840.86,2917840.86,2917840.86,47157.024,47157.024
"albania",2009,"Developing",76.1,91,5.79,348.0559517,53.5,5.79,4114.136545,2927519,0.721,12.2,"ALB",17,590,159,5,0,40,62,4,2,19,10,9513,357,335,16,160,0,7,4,3528,0,119,238,11,4,249,578,274,428,15,1,0,2927.519,2927.519,2868968.62,2868968.62,2868968.62,43912.785,46840.304
"albania",2010,"Developing",76.2,91,5.28,41.82275719,54.3,5.34,494.358832,291321,0.725,12.5,"ALB",16,616,166,5,0,41,66,4,2,21,10,9748,351,308,17,160,2,7,5,3617,0,120,247,12,4,252,587,280,436,16,1,2913.21,291.321,291.321,288407.79,288407.79,288407.79,4078.494,4369.815
"albania",2011,"Developing",76.6,88,5.37,437.0621,55.1,5.71,4437.17868,295195,0.738,13.3,"ALB",13,647,176,5,0,38,65,4,2,22,11,10142,359,293,17,160,0,7,5,3759,0,127,257,12,4,255,616,288,450,16,1,8265.46,0,295.195,292243.05,292243.05,292243.05,4132.73,4427.925
"albania",2012,"Developing",76.9,86,5.14,412.4433563,55.8,5.59,4247.61438,2941,0.752,14.2,"ALB",13,678,185,5,0,40,64,4,2,23,11,10446,369,269,17,158,0,7,9,3865,0,133,265,12,4,252,639,293,459,16,1,26.469,0,2.941,2911.59,2911.59,2911.59,38.233,41.174
"albania",2013,"Developing",77.2,84,4.76,430.8769785,56.5,5.66,4414.72314,289592,0.759,14.2,"ALB",13,710,195,5,0,40,63,4,2,24,11,10800,383,243,17,157,0,7,4,3982,0,139,275,12,4,251,665,299,468,17,1,0,0,289.592,286696.08,286696.08,286696.08,3764.696,4054.288
"albania",2014,"Developing",77.5,8,4.51,428.7490668,57.2,5.88,4575.763787,288914,0.761,14.2,"ALB",13,743,207,5,0,42,63,3,2,25,11,11275,401,218,18,158,0,7,4,4143,1,147,286,12,4,254,702,306,482,17,1,0,0,288.914,283135.72,283135.72,283135.72,3466.968,3755.882
"albania",2015,"Developing",77.8,74,4.6,364.9752287,58,6,3954.22783,28873,0.762,14.2,"ALB",14,776,219,5,0,41,63,3,2,26,11,11754,418,199,18,160,1,7,4,4313,0,155,299,12,4,258,737,317,498,18,1,0,0,0,28584.27,28584.27,28584.27,346.476,375.349
"algeria",2000,"Developing",71.3,145,0.25,154.4559436,44.4,3.49,1757.17797,3118366,0.636,10.7,"DZA",586,2219,597,308,0,963,621,1027,123,327,625,64792,5897,13420,89,1591,48,1247,33,12910,2534,2062,4136,449,279,13538,5124,2870,4533,1032,441,0,65485.686,77959.15,2524019.82280084,2681794.76,2681794.76,202693.79,199575.424
"algeria",2001,"Developing",71.4,145,0.23,147.9860714,45.3,3.84,1732.857979,31592153,0.644,10.9,"DZA",571,2313,618,283,0,921,627,993,137,341,601,65386,5795,13183,89,1599,921,1147,33,13167,1330,2178,4222,446,255,13410,5179,2911,4600,999,415,84856522.958,631843.06,758211.672,25570834.3462432,28117016.17,28117016.17,2021897.792,1990305.639
"algeria",2002,"Developing",71.6,145,0.36,148.5119843,46.1,3.73,1774.33673,3199546,0.653,11.1,"DZA",556,2411,641,253,0,873,628,982,155,354,585,65986,5696,13010,90,1601,48,1040,34,13499,1597,2300,4326,439,228,13224,5240,2935,4648,987,374,18755738.652,63990.92,73589.558,2589727.28921593,2751609.56,2751609.56,201571.398,198371.852
"algeria",2003,"Developing",71.7,146,0.34,25.0185226,47,3.6,294.33556,3243514,0.663,11.5,"DZA",538,2508,655,223,0,815,622,923,175,355,566,66329,5586,12955,89,1554,2329,949,73,13869,932,2415,4422,422,200,12701,5270,2954,4684,920,333,49865784.236,64870.28,74600.822,2625315.19120335,2821857.18,2821857.18,204341.382,197854.354
"algeria",2004,"Developing",72.3,14,0.45,220.393699,47.9,3.54,2598.9823,3283196,0.673,11.7,"DZA",530,2618,683,201,0,783,585,892,196,364,554,67142,5549,12900,90,1547,22,879,33,14377,577,2560,4605,417,178,12535,5353,2988,4747,898,303,10798431.644,62380.724,75513.508,2659388.76,2823548.56,2823548.56,203558.152,200274.956
"algeria",2005,"Developing",72.9,136,0.5,2.548922758,48.9,3.24,31.122378,33288437,0.68,12,"DZA",517,2732,714,183,0,748,567,876,217,373,540,67957,5492,12846,90,1537,22,810,33,14916,324,2706,4771,408,162,12320,5437,3021,4801,874,287,76629981.974,632480.303,732345.614,27629402.71,29293824.56,29293824.56,2030594.657,1997306.22
"algeria",2006,"Developing",73.4,132,0.36,270.2401962,49.8,3.36,3464.6179,33777915,0.686,12.3,"DZA",503,2847,744,167,0,719,554,867,244,380,524,68935,5423,12801,91,1523,5,762,33,15400,406,2861,4951,399,146,12077,5509,3053,4848,855,278,31886351.76,675558.3,776892.045,2702233.2,32089019.25,32089019.25,2060452.815,2026674.9
"algeria",2007,"Developing",73.8,129,0.44,320.3239241,5.8,3.82,3935.183343,34376,0.69,12.3,"DZA",489,2976,777,153,0,686,535,861,278,386,513,70099,5365,12719,92,1504,82,720,33,15949,700,3016,5133,391,133,11847,5594,3087,4899,842,272,0,687.52,790.648,3093.84,32657.2,32657.2,2062.56,2028.184
"algeria",2008,"Developing",74.1,126,0.46,43.08717334,51.8,4.2,495.254866,3486715,0.697,12.6,"DZA",416,3102,809,141,0,660,536,852,297,392,507,71264,5312,12660,92,1487,93,683,33,16524,507,3170,5320,383,122,11643,5679,3121,4950,818,267,756617.155,69734.3,80194.445,3172910.65,3207777.8,3242644.95,209202.9,205716.185
"algeria",2009,"Developing",74.4,123,0.5,352.0636419,52.8,5.36,3868.83123,3546576,0.705,13.1,"DZA",406,3247,844,132,0,636,535,840,318,399,504,72767,5284,12564,93,1474,48,650,33,17155,637,3333,5534,375,113,11450,5788,3161,5015,804,263,379483.632,70931.52,81571.248,3333781.44,3333781.44,3369247.2,212794.56,209247.984
"algeria",2010,"Developing",74.7,119,0.45,430.7175861,53.9,5.12,4463.394675,36117637,0.714,13.6,"DZA",399,3401,877,126,0,614,530,809,329,406,499,74239,5274,12387,94,1458,0,621,33,17706,318,3504,5764,370,108,11270,5887,3202,5078,793,260,3720116.611,758470.377,866823.288,34311755.15,34311755.15,34311755.15,2130940.583,2094822.946
"algeria",2011,"Developing",74.9,116,0.56,509.0020405,55,5.29,5432.2523,36819558,0.724,14,"DZA",395,3573,921,123,0,602,527,781,335,418,494,76392,5317,12184,96,1467,10,602,33,18236,342,3685,5991,367,104,11231,6040,3267,5181,791,258,4123790.496,773210.718,883669.392,34978580.1,34978580.1,34978580.1,2172353.922,2135534.364
"algeria",2012,"Developing",75.1,113,0.66,555.9260834,56.1,6.14,5564.82566,37565847,0.732,14.4,"DZA",390,3757,963,120,0,588,521,748,343,429,489,78530,5362,11899,98,1468,69,587,33,18795,290,3858,6208,364,101,11152,6198,3336,5289,787,258,676185.246,788882.787,901580.328,35687554.65,35687554.65,35687554.65,2216384.973,2178819.126
"algeria",2013,"Developing",75.3,112,0.53,544.4507432,57.2,7.12,5471.866766,38338562,0.737,14.4,"DZA",391,3936,1001,118,0,582,539,721,345,441,487,80572,5432,11758,99,1473,0,577,33,19359,216,4037,6447,365,100,11158,6344,3405,5397,788,258,958464.05,805109.802,920125.488,36421633.9,36421633.9,36421633.9,2261975.158,2223636.596
"algeria",2014,"Developing",75.4,11,0.01,54.2373183,58.4,7.21,547.8517,39113313,0.741,14.4,"DZA",391,4136,1048,119,0,582,509,692,355,454,483,83376,5543,11653,101,1485,6,573,33,19993,114,4246,6738,365,99,11176,6536,3494,5543,793,258,0,821379.573,938719.512,37157647.35,37157647.35,37157647.35,2346798.78,2268572.154
"algeria",2015,"Developing",75.6,19,4.60286078717201,0,59.5,5.9381895280236,4132.76292,39871528,0.743,14.4,"DZA",387,4343,1096,118,0,571,499,695,328,465,477,86306,5634,11344,103,1483,12,568,33,20663,112,4468,7045,363,98,11131,6739,3592,5703,808,259,2511906.264,837302.088,956916.672,37877951.6,37877951.6,37877951.6,2392291.68,2312548.624
"angola",2000,"Developing",45.3,48,1.85,15.88149254,15.4,2.79,555.2969419,1644924,0.382,4.6,"AGO",4124,426,115,9327,11038,1302,582,1993,4784,29,17915,15555,22107,18518,125,1217,59,34141,120,6513,3420,1992,1403,488,9131,7978,3360,3409,5489,542,645,3650086.356,159557.628,263187.84,1331409.07225157,49347.72,460578.72,31253.556,31253.556
"angola",2001,"Developing",45.7,44,2.58,30.35993647,15.8,5.38,526.168743,16983266,0.391,5.1,"AGO",4181,443,118,9004,12333,1302,597,1978,5685,30,18095,15706,21903,18906,126,1226,57,32011,121,6608,3068,2025,1427,492,8824,8158,3361,3437,5533,546,637,153630624.236,1647376.802,2700339.294,13746333.8299287,6963139.06,6453641.08,288715.522,288715.522
"angola",2002,"Developing",46.5,391,2.82,24.037942,16.3,3.63,711.181716,17572649,0.401,5.5,"AGO",4332,464,121,8540,13391,1291,605,1932,6630,30,17969,15872,21464,19258,126,1220,8,29837,120,6751,600,2053,1449,491,8374,8265,3369,3462,5569,545,616,209905292.305,1686974.304,2758905.893,14223383.148457,6501880.13,7204786.09,263589.735,263589.735
"angola",2003,"Developing",46.8,388,3.49,35.93349121,16.8,4.41,779.468356,1823369,0.406,5.9,"AGO",4206,487,127,8235,14880,1285,626,2080,7600,32,17889,16344,21048,19651,130,1254,15,27656,121,7018,81,2131,1500,499,8076,8539,3424,3570,5722,551,608,2180749.324,173220.055,282622.195,1475843.27826834,72934.76,72934.76,25527.166,23703.797
"angola",2004,"Developing",47.1,386,3.53,8.8667775,17.2,4.71,141.86844,18865716,0.415,6.4,"AGO",4401,513,133,8346,16955,1355,659,2107,8557,34,18230,17003,21374,20008,136,1312,28,26567,124,7380,50,2239,1571,525,8189,9112,3518,3732,5973,641,614,547105.764,1773377.304,2867588.832,15269997.542088,754628.64,754628.64,226388.592,207522.876
"angola",2005,"Developing",47.4,382,5.04,98.19145117,17.7,4.1,1443.991929,19552542,0.426,6.8,"AGO",4359,536,138,7960,17846,1331,672,2205,9398,34,17772,17115,20815,20189,137,1312,0,24854,123,7518,11,2271,1587,521,7810,9106,3491,3787,6047,575,583,5044555.836,1798833.864,2893776.216,15825917.674239,7625491.38,7429965.96,195525.42,1935701.658
"angola",2006,"Developing",47.7,381,5.84,25.08688824,18.2,4.54,262.415149,2262399,0.439,7.2,"AGO",4132,564,144,7543,17567,1300,698,2280,9927,36,17573,17544,20295,20245,141,1349,0,25475,124,7770,12,2364,1638,521,7398,9212,3506,3896,6217,572,527,1730735.235,203615.91,323523.057,1831196.18514465,814463.64,769215.66,221715.102,219452.703
"angola",2007,"Developing",48.2,375,6.35,184.8213446,18.8,3.38,2878.837144,2997687,0.454,7.7,"AGO",4088,589,149,7168,16328,1280,729,2307,10340,38,17340,17760,19824,20250,143,1369,105,23500,125,7969,34,2426,1672,524,7029,9294,3486,3980,6357,571,444,3039654.618,260798.769,413680.806,2188311.51,2248265.25,2188311.51,287777.952,287777.952
"angola",2008,"Developing",48.7,371,7.07,249.9101958,19.3,3.84,3868.578883,2175942,0.468,8.1,"AGO",4021,619,156,6738,13805,1242,760,2295,10889,40,17022,18305,19196,20218,147,1402,7,22463,126,8294,5,2532,1729,515,6602,9360,3519,4121,6585,567,371,576624.63,182779.128,289400.286,1501399.98,1414362.3,1501399.98,206714.49,204538.548
"angola",2009,"Developing",49.1,369,7.01,212.9229325,19.8,4.37,3347.84485,22549547,0.48,8.5,"AGO",3901,653,164,6231,11334,1188,791,2335,11433,43,16302,18809,18235,20276,153,1453,62,21581,125,8640,28,2650,1789,505,6098,9360,3523,4314,6873,556,326,63296578.429,1826513.307,2863792.469,13755223.67,14206214.61,1352972.82,2097107.871,2074558.324
"angola",2010,"Developing",49.6,365,7.8,191.6537407,2.4,3.39,3529.53482,23369131,0.488,9,"AGO",3861,690,172,5928,10045,1170,824,2332,12036,45,15756,19340,17676,20369,158,1501,25,21148,124,9025,23,2779,1853,506,5798,9512,3547,4520,7181,559,307,27809265.89,1822792.218,2827664.851,17994230.87,18928996.11,17994230.87,2126590.921,2103221.79
"angola",2011,"Developing",51,361,8.06,239.8913921,21,3.38,4299.12889,24218565,0.495,9.4,"AGO",3740,730,181,5462,8972,1114,844,2323,12798,49,15127,19923,16863,20325,164,1551,130,20827,123,9408,7,2914,1916,497,5335,9523,3564,4700,7471,550,299,35092700.685,1816392.375,2785134.975,17437366.8,17679552.45,17195181.15,2155452.285,2131233.72
"angola",2012,"Developing",56,358,8.24,256.1225243,21.5,3.3,4598.249988,259615,0.508,10.3,"AGO",3642,771,191,5074,8550,1076,865,2304,13533,52,14655,20537,16241,20305,170,1604,0,20245,123,9803,6,3057,1982,489,4950,9524,3598,4867,7739,545,292,1157363.67,18692.28,28557.65,194711.25,194711.25,194711.25,22846.12,22326.89
"angola",2013,"Developing",51.1,355,8.1,35.95857279,22.1,4.26,484.616884,2599834,0.523,11.4,"AGO",3243,812,199,4642,8570,1010,884,2263,13524,55,14249,21009,15475,20217,175,1641,9,19421,122,10124,4,3169,2038,477,4523,9284,3609,4976,7925,534,283,22158385.182,179388.546,272982.57,2001872.18,1741888.78,2001872.18,223585.724,220985.89
"angola",2014,"Developing",51.7,348,8.33,23.965612,22.7,3.31,479.31224,2692466,0.527,11.4,"AGO",3025,853,205,4244,8798,949,892,2200,13176,58,13578,21149,14724,20048,177,1646,0,18053,119,10314,0,3228,2064,458,4130,9036,3567,5002,7981,518,271,31499159.734,180395.222,271939.066,1723178.24,1830876.88,1723178.24,228859.61,223474.678
"angola",2015,"Developing",52.4,335,4.60286078717201,0,23.3,5.9381895280236,3695.793748,2785935,0.531,11.4,"AGO",2910,905,216,3970,9549,915,905,2166,13544,61,13149,21887,14257,19755,182,1691,75,17058,118,10753,1,3371,2139,448,3858,9012,3613,5107,8163,517,266,328740.33,183871.71,273021.63,1782998.4,195015.45,1782998.4,231232.605,228446.67
"antigua and barbuda",2000,"Developing",73.6,156,7.27,1127.74347,38.2,4.13,9875.161736,12753375.1200525,0,0,"ATG",1,14,3,3,0,4,3,0,13,1,1,163,25,11,4,2,0,2,0,86,0,40,18,0,3,7,7,9,17,2,0,0,0,0,10322640.6427686,12243240.1152504,12115706.3640499,471874.879441944,459121.504321892
"antigua and barbuda",2001,"Developing",73.8,154,7.51,163.7676978,38.9,4.48,9358.154162,12753375.1200525,0,0,"ATG",1,14,3,3,0,4,5,0,13,1,0,161,25,11,4,2,0,2,0,86,0,40,18,0,3,7,7,9,17,2,0,0,0,0,12243240.1152504,12625841.368852,12370773.866451,459121.504321892,446368.129201839
"antigua and barbuda",2002,"Developing",74,153,7.21,927.4075855,39.5,4.41,9386.716452,12753375.1200525,0,0,"ATG",1,14,3,3,0,4,4,0,12,1,0,160,25,10,4,2,0,2,0,88,0,41,19,0,3,7,7,9,17,2,0,0,0,0,12625841.368852,11860638.8616489,12498307.6176515,459121.504321892,446368.129201839
"antigua and barbuda",2003,"Developing",74.2,151,7.16,1158.065259,4.1,4.53,9739.82556,12753375.1200525,0,0,"ATG",1,14,4,3,0,4,4,0,10,1,0,160,25,10,4,2,0,2,0,89,0,41,19,0,2,6,7,9,17,2,0,0,0,0,12625841.368852,12625841.368852,12625841.368852,446368.129201839,446368.129201839
"antigua and barbuda",2004,"Developing",74.4,149,7.28,22.86295206,4.8,4.21,1352.8374,12753375.1200525,0,0,"ATG",1,14,4,3,0,4,4,0,10,1,0,159,25,9,4,2,0,2,0,91,0,42,20,0,2,6,7,9,17,2,0,0,0,0,12370773.866451,12370773.866451,12370773.866451,446368.129201839,433614.754081786
"antigua and barbuda",2005,"Developing",74.6,147,8.15,1455.608186,41.4,4.41,11371.93895,12753375.1200525,0,0,"ATG",1,14,4,2,0,4,5,0,9,0,0,160,25,9,4,2,0,2,0,92,0,43,21,0,2,6,7,9,17,2,0,0,0,0,12625841.368852,12498307.6176515,12625841.368852,446368.129201839,433614.754081786
"antigua and barbuda",2006,"Developing",74.8,145,8.93,216.3146941,42,4.34,12724.39377,12753375.1200525,0.773,14.7,"ATG",1,14,4,2,0,4,4,0,9,0,0,162,25,8,4,2,0,2,0,96,0,44,22,0,2,6,8,9,18,2,0,0,0,0,12625841.368852,12625841.368852,12625841.368852,433614.754081786,433614.754081786
"antigua and barbuda",2007,"Developing",75,144,8.64,257.9665308,42.6,4.27,14252.29452,12753375.1200525,0.781,14.5,"ATG",1,15,5,3,0,4,5,0,8,0,0,180,28,8,5,2,0,2,0,112,0,48,25,0,3,5,9,10,20,2,0,0,0,0,12370773.866451,12498307.6176515,12625841.368852,433614.754081786,420861.378961734
"antigua and barbuda",2008,"Developing",75.2,142,8.27,180.7762695,43.2,4.69,1473.31923,12753375.1200525,0.786,14.4,"ATG",1,15,5,3,0,4,4,0,8,0,0,179,28,7,5,2,0,2,0,114,0,49,26,0,3,5,9,11,20,2,0,0,0,0,12498307.6176515,12625841.368852,12625841.368852,433614.754081786,420861.378961734
"antigua and barbuda",2009,"Developing",75.4,14,7.82,149.3587355,43.8,4.86,1312.46692,12753375.1200525,0.788,14.2,"ATG",1,15,4,2,0,4,6,0,7,0,0,170,26,7,5,2,0,1,0,108,0,46,26,0,2,5,9,10,19,2,0,0,0,0,12498307.6176515,12498307.6176515,12625841.368852,433614.754081786,420861.378961734
